index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
145;false;false;1;12;134;0;0;6366;182059;941;4780;
130;false;false;1;12;119;0;0;6366;182059;941;4780;
140;false;false;1;12;129;0;0;6366;182059;941;4780;
125;false;false;1;12;114;0;0;6366;182059;941;4780;
150;false;false;1;12;139;0;0;6366;182059;941;4780;
136;false;false;1;12;125;0;0;6366;182059;941;4780;
7;false;false;0;0;8;0;0;0;183000;0;11146;
386;false;false;6;18;367;2;0;5922;181293;1707;5224;
3;false;false;0;0;4;0;0;0;183000;0;11146;
156;false;false;1;12;145;0;0;6366;182059;941;4780;
157;false;false;1;12;146;0;0;6366;182059;941;4780;
142;false;false;1;12;131;0;0;6366;182059;941;4780;
162;false;false;1;12;151;0;0;6366;182059;941;4780;
148;false;false;1;12;137;0;0;6366;182059;941;4780;
152;false;false;1;12;141;0;0;6366;182059;941;4780;
137;false;false;1;12;126;0;0;6366;182059;941;4780;
19;false;false;1;2;18;0;0;6366;182059;941;4780;
9;false;false;0;0;10;0;0;0;183000;0;11146;
15;true;true;1;2;14;0;0;6366;182059;941;4780;
11;false;false;0;0;12;0;0;0;183000;0;11146;
169;false;false;1;14;156;0;0;6366;182059;941;4780;
168;false;false;1;14;155;0;0;6366;182059;941;4780;
164;false;false;1;12;153;0;0;6366;182059;941;4780;
160;false;false;1;12;149;0;0;6366;182059;941;4780;
31;false;false;1;6;26;0;0;6366;182059;941;4780;
174;false;false;1;14;161;0;0;6366;182059;941;4780;
154;false;false;1;12;143;0;0;6366;182059;941;4780;
398;false;false;6;20;377;2;0;5713;180017;2983;5433;
149;false;false;1;12;138;0;0;6366;182059;941;4780;
21;false;false;1;4;18;0;0;6366;182059;941;4780;
27;false;false;1;6;22;0;0;6366;182059;941;4780;
43;false;false;1;6;38;0;0;5568;182501;499;5578;
23;false;false;1;6;18;0;0;6366;182059;941;4780;
181;false;false;1;14;168;0;0;6366;182059;941;4780;
176;false;false;1;14;163;0;0;6366;182059;941;4780;
166;false;false;1;13;154;0;0;6366;182059;941;4780;
172;false;false;1;14;159;0;0;6366;182059;941;4780;
186;true;true;2;15;172;0;0;6528;180359;2641;4618;
33;false;false;1;6;28;0;0;6366;182059;941;4780;
161;false;false;1;12;150;0;0;6366;182059;941;4780;
180;false;false;1;14;167;0;0;6366;182059;941;4780;
35;false;false;1;6;30;0;0;6366;182059;941;4780;
39;false;false;1;6;34;0;0;5568;182501;499;5578;
55;false;false;1;6;50;0;0;5568;182501;499;5578;
45;false;false;1;6;40;0;0;5568;182501;499;5578;
410;false;true;6;20;389;2;0;5834;180664;2336;5312;
193;false;false;2;16;178;0;0;6478;181161;1839;4668;
184;false;false;1;14;171;0;0;6366;182059;941;4780;
198;false;false;2;16;183;0;0;6478;181161;1839;4668;
47;false;false;1;6;42;0;0;5568;182501;499;5578;
178;false;false;1;14;165;0;0;6366;182059;941;4780;
51;false;false;1;6;46;0;0;5568;182501;499;5578;
188;false;true;2;16;173;0;0;6478;181161;1839;4668;
57;false;false;1;6;52;0;0;5568;182501;499;5578;
67;false;false;1;8;60;0;0;6366;182059;941;4780;
173;false;false;1;14;160;0;0;6366;182059;941;4780;
192;false;false;2;16;177;0;0;6478;181161;1839;4668;
205;false;false;2;16;190;0;0;6478;181161;1839;4668;
59;false;false;1;6;54;0;0;5568;182501;499;5578;
63;false;false;1;6;58;0;0;6366;182059;941;4780;
196;false;false;2;16;181;0;0;6478;181161;1839;4668;
210;false;false;2;16;195;0;0;6478;181161;1839;4668;
69;false;false;1;8;62;0;0;6366;182059;941;4780;
422;false;false;6;20;401;2;0;5834;180664;2336;5312;
190;false;false;2;16;175;0;0;6478;181161;1839;4668;
185;false;false;1;14;172;0;0;6366;182059;941;4780;
79;false;false;1;10;70;0;0;6366;182059;941;4780;
200;false;false;2;16;185;0;0;6478;181161;1839;4668;
71;false;false;1;8;64;0;0;6366;182059;941;4780;
75;false;false;1;8;68;0;0;6366;182059;941;4780;
204;false;false;2;16;189;0;0;6478;181161;1839;4668;
217;false;false;2;16;202;0;0;6478;181161;1839;4668;
208;false;false;2;16;193;0;0;6478;181161;1839;4668;
91;false;false;1;12;80;0;0;6366;182059;941;4780;
81;false;false;1;10;72;0;0;6366;182059;941;4780;
222;false;false;2;16;207;0;0;6478;181161;1839;4668;
197;false;false;2;16;182;0;0;6478;181161;1839;4668;
202;false;false;2;16;187;0;0;6478;181161;1839;4668;
83;false;false;1;12;72;0;0;6366;182059;941;4780;
212;false;false;2;16;197;0;0;6478;181161;1839;4668;
87;false;false;1;12;76;0;0;6366;182059;941;4780;
434;false;false;6;20;413;2;0;5834;180664;2336;5312;
93;false;false;1;12;82;0;0;6366;182059;941;4780;
103;false;false;1;12;92;0;0;6366;182059;941;4780;
95;false;false;1;12;84;0;0;6366;182059;941;4780;
229;false;false;2;16;214;0;0;6478;181161;1839;4668;
216;false;false;2;16;201;0;0;6478;181161;1839;4668;
220;false;false;2;16;205;0;0;6478;181161;1839;4668;
209;false;false;2;16;194;0;0;6478;181161;1839;4668;
214;false;false;2;16;199;0;0;6478;181161;1839;4668;
224;false;false;2;16;209;0;0;6478;181161;1839;4668;
234;false;false;2;16;219;0;0;6478;181161;1839;4668;
99;false;false;1;12;88;0;0;6366;182059;941;4780;
105;false;false;1;12;94;0;0;6366;182059;941;4780;
115;false;false;1;12;104;0;0;6366;182059;941;4780;
107;false;false;1;12;96;0;0;6366;182059;941;4780;
446;false;false;6;20;425;2;0;5834;180664;2336;5312;
241;false;false;2;16;226;0;0;6478;181161;1839;4668;
228;false;false;2;16;213;0;0;6478;181161;1839;4668;
111;false;false;1;12;100;0;0;6366;182059;941;4780;
221;false;false;2;16;206;0;0;6478;181161;1839;4668;
232;false;false;2;16;217;0;0;6478;181161;1839;4668;
226;false;false;2;16;211;0;0;6478;181161;1839;4668;
236;false;false;2;16;221;0;0;6478;181161;1839;4668;
246;false;false;6;16;231;0;0;5178;180792;2208;5968;
117;false;false;1;12;106;0;0;6366;182059;941;4780;
119;false;false;1;12;108;0;0;6366;182059;941;4780;
127;false;false;1;12;116;0;0;6366;182059;941;4780;
123;false;false;1;12;112;0;0;6366;182059;941;4780;
458;false;false;6;20;437;2;0;5834;180664;2336;5312;
233;false;false;2;16;218;0;0;6478;181161;1839;4668;
244;false;true;6;16;229;0;0;5178;180792;2208;5968;
238;false;false;2;16;223;0;0;6478;181161;1839;4668;
129;false;false;1;12;118;0;0;6366;182059;941;4780;
253;false;false;6;16;238;0;0;5178;180792;2208;5968;
131;false;false;1;12;120;0;0;6366;182059;941;4780;
240;false;false;2;16;225;0;0;6478;181161;1839;4668;
139;false;false;1;12;128;0;0;6366;182059;941;4780;
248;false;false;6;16;233;0;0;5178;180792;2208;5968;
258;false;false;6;16;243;0;0;5178;180792;2208;5968;
135;false;false;1;12;124;0;0;6366;182059;941;4780;
143;false;false;1;12;132;0;0;6366;182059;941;4780;
141;false;false;1;12;130;0;0;6366;182059;941;4780;
470;false;false;6;20;449;2;0;5834;180664;2336;5312;
256;false;false;6;16;241;0;0;5178;180792;2208;5968;
245;false;true;6;16;230;0;0;5253;180758;2242;5893;
151;false;false;1;12;140;0;0;6366;182059;941;4780;
250;false;false;6;16;235;0;0;5178;180792;2208;5968;
147;false;false;1;12;136;0;0;6366;182059;941;4780;
153;false;false;1;12;142;0;0;6366;182059;941;4780;
265;false;false;6;16;250;0;0;5178;180792;2208;5968;
155;false;false;1;12;144;0;0;6366;182059;941;4780;
260;false;false;6;16;245;0;0;5178;180792;2208;5968;
252;false;false;6;16;237;0;0;5178;180792;2208;5968;
163;false;false;1;12;152;0;0;6366;182059;941;4780;
270;false;false;6;16;255;0;0;5178;180792;2208;5968;
165;false;false;1;12;154;0;0;6366;182059;941;4780;
257;false;false;6;16;242;0;0;5178;180792;2208;5968;
482;false;false;6;20;461;2;0;5834;180664;2336;5312;
268;false;false;6;16;253;0;0;5178;180792;2208;5968;
167;false;false;1;14;154;0;0;6366;182059;941;4780;
159;false;false;1;12;148;0;0;6366;182059;941;4780;
262;false;false;6;16;247;0;0;5178;180792;2208;5968;
277;false;false;6;16;262;0;0;5178;180792;2208;5968;
264;false;false;6;16;249;0;0;5178;180792;2208;5968;
175;false;false;1;14;162;0;0;6366;182059;941;4780;
